gene_id	asc_0	asc_1	asc_2	asc_3	asc_4	asc_5	asc_6	idc_0	idc_1	idc_2	idc_3	idc_4	idc_5	idc_6	healthy_0	healthy_1	healthy_2	healthy_3	healthy_4	healthy_5	healthy_6
ENSG00000188324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
ENSG00000188338	113	9	4	37	16	8	65	55	56	190	79	274	215	734	27	79	64	53	42	119	26
ENSG00000188340	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188342	422	120	221	561	215	756	0	1384	1386	1167	1039	1519	1308	1132	1161	1006	929	1021	610	1319	1347
ENSG00000188343	1215	849	270	1548	281	647	0	700	1518	678	1353	1064	394	1531	684	699	1034	1626	836	931	862
ENSG00000188352	4868	3432	1485	4559	3238	5116	0	4057	3162	2458	2670	3780	1414	3928	1286	1807	2113	1806	1381	1797	1800
ENSG00000188368	8	5	20	17	6	25	0	97	351	137	134	69	122	289	11	38	18	19	16	44	44
ENSG00000188372	142	123	124	158	51	404	10	269	485	249	852	155	563	359	58	153	61	52	26	113	153
ENSG00000188373	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	2	6	4	4	0	4
ENSG00000188375	9	0	0	5	0	5	0	24	9	14	16	17	56	14	20	28	16	24	15	31	36
ENSG00000188379	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	4	4
ENSG00000188385	106	38	109	297	47	11	0	232	539	183	695	307	18	265	118	382	340	470	21	181	451
ENSG00000188386	1	2	0	3	1	0	0	0	0	2	0	0	1	0	0	0	0	13	0	0	6
ENSG00000188389	78	23	22	79	31	8	0	66	23	15	4	9	9	106	36	36	70	58	42	35	56
ENSG00000188393	0	0	63	703	0	17	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0
ENSG00000188394	471	197	70	561	244	198	0	26	9	9	9	5	3	8	0	0	0	0	0	0	0
ENSG00000188396	51	9	37	19	53	2	0	41	33	13	7	26	22	22	19	14	25	28	8	5	16
ENSG00000188404	485	68	45	51	50	76	0	721	678	2277	135	118	440	1256	157	144	331	382	122	196	339
ENSG00000188408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000188419	1784	953	469	1687	613	905	0	2346	3018	2249	4528	2244	539	1409	1328	1766	1586	1606	1015	1590	1398
ENSG00000188425	0	0	0	0	0	0	0	0	2	0	3	1	0	1	1	1	0	2	0	3	0
ENSG00000188428	62	35	11	37	4	35	0	850	960	962	2427	1154	546	843	963	974	741	1116	412	1200	1100
ENSG00000188452	37	33	0	35	3	3	0	9	17	108	207	60	4	139	73	143	326	182	75	155	192
ENSG00000188467	6	0	2	49	0	1	0	0	1	1	2	0	1	1	0	2	0	0	0	2	5
ENSG00000188483	33	37	38	39	37	29	9	742	563	310	368	766	939	261	1127	438	565	678	246	405	1585
ENSG00000188486	52	60	276	47	120	244	10	1403	2412	1139	1221	715	7261	1083	596	732	666	500	478	858	647
ENSG00000188487	12	1	7	35	4	2	0	1	6	6	155	4	0	3	14	15	19	20	16	22	114
ENSG00000188488	22	4	0	17	15	0	0	2118	10057	1625	1547	5384	29211	12514	290	1399	2268	329	343	681	546
ENSG00000188493	408	106	311	318	122	234	0	972	2193	664	1168	391	600	966	767	1144	896	918	1118	1195	1047
ENSG00000188501	28	26	19	44	1	13	0	4	15	5	30	13	3	10	15	11	20	15	4	11	20
ENSG00000188505	2	1	101	487	0	27	0	170	3355	594	1	15	0	267	37	107	113	17	13	74	21
ENSG00000188508	1	0	1909	5068	2	509	0	2	11	178	2	2	2	9	21	43	40	50	24	32	12
ENSG00000188517	604	266	68	426	581	41	42	37	18	49	57	45	3	48	761	1920	716	1401	590	450	815
